address,choice.1,choice.2,choice.3,choice.4,choice.5,choice.6,choice.7,choice.8,voting_power,timestamp,author_ipfs_hash,reason
0xFc44421E8641F344aE44F0C22144e053bdc14263,,1,,1,,,,,19.543973366792358,1696321846,bafkreifmiktnkgwwvbnnr5zzhlhzwwymwe5sjmxdt23lcsnlil65pqmljq,""
0xe44782AFE398800d7190796018C4b865E32fF806,,1,,,,,,,0.806394245312936,1696321878,bafkreih327gjdjqkng4ay5yihdkup2gi2exvw7pcfjnsydmw7sw4it4sd4,""
0x5a071bA1181E280845eEC8fe4f8D2bf7054bF319,,1,,,,,,,4.7252182251819494,1696321951,bafkreiekhpzxdtxfrpryneafnorvp2qtu76eykmtfn67vxmzjimlla7usa,""
0x76836f5FCF65f2828EABd92FDa36ad1211912140,,34,,33,,,,33,121.67723125013708,1696322485,bafkreib7ccz3d43erbpoeeeseij3d5xvzr3zhfllxflgnuxwzseftmksnq,""
0xcF1107a96747Cdec84489F07111CcEeB30e2D881,,900000000,,,,,,,1972.7817676049985,1696322984,bafkreibbltedisgx2fjx6myvup4acnuz6y4qziflgajv4ixfvhuczyxrai,""
0x8D106c747CD21272D4C9Ff0Af8d53A9C9AcA25d2,1,1,1,1,1,1,1,1,24.27335008010202,1696323077,bafkreihf4rg4w3nczroqv2udppmigl4dgx3u3sv2tdjbcwf4mrp6uy33xm,""
0xC8b59c517E26d5AC230CB745c20d69f8f8C73e56,1,1,,1,,1,1,,0.6030144759681211,1696323332,bafkreihxvybipmwbkl7zjnrgqhodsijal4tkje6fic6fhfyacpjtp3q4mu,""
0xCa5a37fAaBbAc02787E52AA48c95505327E876B1,1,1,,,1,1,,,0.018205115,1696324014,bafkreifnzylo4nrbmffmslsdzeoerqjihrksi77pyyejimltzzvmrmaihq,""
0x7d975Bddf2a5BC3F21503E46B179bB360206F83C,,1,,,,,,,16.561421967231375,1696324214,bafkreih6rj7w7fim5qktx3d522k3vsvneoobqzidcrhu5id7s2nger3xpi,""
0x0C1633e0BA164a9DEf56d86d7c46afCBe4d28a77,,1,,,,,,,45.55344615734119,1696324936,bafkreih4miygihgwem3tg2pwtgg563d3ewru7w6kfbzphqr6jqk5p3li4m,""
0xD2BaBaa8f5177754E90A80F7FEEEaFd95eB1047A,1,3,2,2,1,,1,4,1.226153812189213,1696325224,bafkreig6dzekp43lohor2uof6c75ikepf4cxktzafb2mdq6brxohtq4mje,""
0x7Ebbe8c7A628849F4305780177a0a6cf69B6362C,1,,1,2,1,1,,,39.217560394874475,1696325259,bafkreiaoxc4r6oikn6towkgzdipcs2pyejshgh2ep5dtpnwxxsxrdnbvfq,""
0xb9072e7f4b25B523Cd2144b05E8734B68E18FcB9,,1,,,,,,,2600.235370182358,1696325839,bafkreien6b2lsr5odgeyytcinisftrynldvi5kx7m5hn2gyiip2xv4v5s4,""
0x9Bc54B27D43c0DE1683ce9f9266D6bC22F687c3B,,1,,,,,,,89.79913066424143,1696326015,bafkreigztvfb7yt6afstyf4vv4lqhxw6m3szljmcmhcmoq2xbuuu56hfxa,""
0x0cad22BEA5beD7A886e0E5980180BeeB2938fA1e,,1,,,,,,,3.658897626137161,1696326066,bafkreig6ecmuucxyzf723urzvycbmrbhgjd35fb3kizmvoctq2zlqmau5m,""
0xe9533C1B3eE9425312baE5847650f277B7042BeA,,1,,,,,,,3.2641526345585756,1696326084,bafkreifsfm3qc2kp3vu7pt3amd7f2w3pzzakxf2eekl3r7psjrm32oeoci,""
0xD0B6a3389d5847fF6865c7E8625F80f8202d148b,,1,,,,,,,65.39565804604086,1696326469,bafkreibpctcwfud2gzdagvi2tltxjwzmgqk62gzb5qj73myx4gtq6l4lfu,""
0xe54B20301fA0b9D5419cd7BFef6f5DAb8C8B885D,,,,,,,,1,0.5522333469719838,1696327014,bafkreifnese7bfg6vgrfnxkezf53f3jnjrjoyofmic2s53dicldnnmjmma,""
0xE98D64a67c33c64aC21Db6CF92367551119F2256,,1,,,,,,,3.1308514753353953,1696327321,bafkreiao6rcpsmiydq7vo5cegp3hqn4r2dv755uicfriijc42x3two7rdi,""
0xf626e9A2FDDbf55b0b1A87C56128A7ba6723A85a,,,1,,,,,,2522.1970757448794,1696327463,bafkreid3lrmkhgwsvbhssmwsgm5ipx4qvnmy6a5vpg3g7bzsvyapndqjk4,""
0xb93211d767383C362923f10f60850A0605C0e74c,,,,1,,,,,0.7059519485399808,1696327774,bafkreibqnwvsznau6tpbtj3meci2wf2fhxatv45axw4l6y5uv3st6bpzwu,""
0x24680Aae004c3826B2f311b2c924cE8e58ba2006,1,,,,,,,,21.212227233341572,1696327793,bafkreiajqp6k5q5kjvqgmyfukuatuziedjp25qmcstykrulsoj7yoiheiy,""
0x93cEc1B97CcfeBf0D088801CC020421e9C4D5793,,1,,,,,,,6.689995965592635,1696328142,bafkreib77wzjtgvcq3246qditepfssv333wbw34i52lnzqacm7uiuhyz5y,""
0xCC01B2988F46c970D9b0cE857EAb085006075034,1,,,,,,,,2.9736168661036597,1696328266,bafkreib7vyon36wwxnc62xf446776sy6jhtisuh35jvl5cs5ksjchq3yua,""
0x0E2B38b40A91F2e06eAfe04c7e4f60AC03eE6835,,,,,,,1,,0.6148842739603914,1696328425,bafkreibiwpup66nvqfohyxht7piyvq3lcudq7vpj237pxzkhrl7wjbs7mi,""
0x4DaEa5f3bc56Feade3988c878E72670CC330b1bc,,,,,,,1,,2678.2036488382505,1696328436,bafkreidzlectglzd3znmnqaxknolpp6cmp3bhjrp53qzztopmfe63iitem,""
0xfC80F50D7067C0CDe6462DfdF69dD3Da0caC02E6,,,,,1,,,,7.2131684706376555,1696328570,bafkreihs2b3bgjsenslts3qf3tuplwlifzhcyzgiy6vq3ytstr7g2zmwva,""
0xBE5eE28039DD0E3B53FC350dDB4970bc643e966C,,,1,,,,,,0.5988073875591132,1696328690,bafkreif4d2buhjkwur7yunldgxgcy73nalcnpp5cb2cnpks5jpzrviaczi,""
0x4a854706B9f1f284c86DD4CF2d5d8B089A9C152F,,1,1,,,,1,,1.940084889929006,1696328818,bafkreiatjimc53epu5atqvrzmwcowd2lvfu3t67bztvaoq5rjsmc524hxy,""
0x2f742350CF49D6dF2e46ccb9625550fdD40e3F86,1,,,,,,,,1.598862855670999,1696328953,bafkreiaq5v3outlfny2fuyvi5dxkpd2nqai4n5yn2mdua44phbyp2yg74m,""
0x8aEf82D896d5ACB020fF931D6Bf034bF58995aBb,1,,,,1,,1,,2.066958553785485,1696329019,bafkreihabceeaosiglk3dnajtmhm44ltg2ry7s5qhchln3stmtfskg2hki,""
0x3A6dE3D2eEA38C6d806ca7a0924D80C85994cE16,,,,,,,,1,9363.736050722522,1696329087,bafkreihj7wojcmk7y2f36xzy4crhofw5t5g6kvd7qd7i3vzbjyqrmkhjiy,""
0x6315C1a0cb64717beafCA7DC4a8E8d61728B28A9,,,,,,,,1,1.5977545709656968,1696329218,bafkreihdnf3pkjdoa6ipyb4p3t6celow3cg4xiajk4o3afksgzbem43exe,""
0xef0820040Fc3A01E69D1AaA8271E5C8AfaADfEC7,,,,1,,,,,45024.11924245421,1696329387,bafkreidawq6i7h7zujy4o43mbipytq47gipnmhbp5y7waybekpkqm23g3y,""
0x20DC9F5B339ba09a01cd6ed662AC8871c7521b79,,,,,1,,,,1.5986502191963579,1696329469,bafkreih6oq7ge4mqy3o7xtkbm2mboxmdaujbsyfjtow4gcqiuftrhlr7sm,""
0xdcf081C99EfD404BbB6E28D8F81899AB80EF2FD2,,1,,1,,,,,298.5129537687499,1696329570,bafkreiaa7xiooom37b3spyeivh4q7oehagvdvcby6wfuovksrefcqhfqte,""
0x32ede625335ADDa96dbFF368799dcC0BacBf10d9,2,,,,1,,2,,0.5841332915751187,1696330212,bafkreifidqfanziu4avr75wqumroxwtyd5fktma62c363dgiclm6vwpk5y,""
0x0Ad9fBf7Aa4C95133DbeF42f4Cc347C001a6E678,,1,,,,,,,9.26670704565767,1696330345,bafkreidbjtmpdpqd3ez4nbtiykqdqadat37halcug4ijbv6wg7dmtwyfiu,""
