address,choice.1,choice.2,choice.3,choice.4,choice.5,choice.6,voting_power,timestamp,author_ipfs_hash,reason
0x8c6fDBca2070590D7f2cE5b2c1ED1C305D968E5D,,,,1,,,104.9225609642589,1679329305,bafkreiequ6ogwmjz3ly3m725sy2suexam5cbzo4axtbp7q427hnfrtryxm,""
0xf79812A33CD7b32F007281967e848F0d0c63c396,,,,,1,,0.47602030274462753,1679329354,bafkreihkem2j4yid2tlxsdpiwurkbquyrsroxs4mpmecnq3qpgfnikdp3y,""
0x3b3d96D7Ba6d981ed0861E54d6298947B495F68f,,,,,1,,50.284507012342615,1679329448,bafkreidvajb6slwt2b32d5wf5yvrnkoz3i4zzm2hrzwnnam54vqlntfmn4,""
0x1c0eC596303Ce6666f5a4D24c29e78Cf881cb5d3,1,1,2,2,3,11,22697.640405417445,1679329503,bafkreiemy6og77esduhyjzjr7m5wln7va3l4j72iucctidxhlv4u4fhzuq,""
0x8A5933C09EA5d64d22c48cece720141090e3d4Ca,,,,,,1,0.925593778,1679329517,bafkreifzm6wrjpes5x5rrp2rqvlcrzzec25z25ww2tdgggmuj3jiy27lvy,""
0x504591E0a3286D0317737dB6902a62c2414166Ca,,,,,1,1,11560.848179589242,1679329560,bafkreibsme5fjzfjytg3bnrqkzirxkvphntauernq3ovxp3bj2baktwtcq,""
0x45C7251E1FBC96126a330C942cCcFdd246bDeBE4,,,,,1,1,5.014908364684696,1679329570,bafkreid7qk3jevmbcpnjlhvnbbcdgogh4kc3t7ueup5sayrexqfl6yuqpm,""
0x8aEf82D896d5ACB020fF931D6Bf034bF58995aBb,,,,,1,,7402.426469849098,1679329587,bafkreidklib4phowmidxjxz2q4l2d2etgzk2gwke45wto77muoftqsqgwq,""
0x68c86BBdA22D869afAa99F64e1eB3baDC853eC5E,1,,,,,1,1729.5605853657812,1679329615,bafkreiasoisk2u5xnoumwmt33sks6ht3sxuucrl5dvzku2kanuldqxzsei,""
0x979D0c3B34eB98812a5D54D503A406628dF647a2,1,1,1,1,1,1,5.205845782699273,1679329616,bafkreifz3vxhehcetek7alnsz4go7x7a4d2iahlr4cwjhl5m3xe7p44if4,""
0xdEFcDD8911ee60fcFf81dC2bEFD6717C771DC706,1,,,,,,72155.9967979206,1679329626,bafkreihldpfegu23qjg5nqmuelrvuamyutpddksm5cze4x4txfgxjk3b4a,""
0x4a854706B9f1f284c86DD4CF2d5d8B089A9C152F,,,,,1,,0.4752955527948265,1679329638,bafkreih5ep5rc2nvmt4gl7mivnhdnzakdkt3zteygzfnsdrlnym5odlobe,""
0x3466ACC8D2d7064367B837cF6eEFac9659d3Ad2A,,,,,,487.85,487.85238083949463,1679329647,bafkreif5z4dp7skhupvdb45qeidcrrzjtetetuahssfpbqvm4sw4kywjie,""
0x32ede625335ADDa96dbFF368799dcC0BacBf10d9,,,,,1,,310.352359607121,1679329685,bafkreihdqf27gooo5dazf7dsidcixdkpmlolwj5sn4aedtq254jv2qi2fi,""
0x6C103f707A9c56a22770B628Bd99F434943f3395,,,,,10,,8.3306695,1679329775,bafkreiggyixtxnujubd7uig5pdn2dw6clpbclccw3oytlxqpdctcwu7kvu,""
0xE21B47f3889688fA7391C0ef9f09D2DFA0afD71B,,,,,,1,2034.5346780017767,1679329776,bafkreibqxvdwcsrczijk63ctrdqtanllz3oguddxnsyk6kzzj77el7eioq,""
0xd329f2B6773d71Fa505C398311FD98471499f9a4,,,,,10,,1.9781232,1679329814,bafkreiajxmshikrtfv5nbfgotfl6k277t7czpkstl5zq6uviu3dfu3togq,""
0x3B5a4eaE70B458ad114A18b01EdB8Ce6364E5F24,,,,,1,,5.6213054739331945,1679329833,bafkreic3litvpqclbkp2bj5d77ncnv57cagoaawfgzgjyfhdglna3hikbu,""
0xfE49C7010Cb0399b1E6bbd48646A502CDA613F2a,,,,,1,,1.1,1679329917,bafkreiaaxksznfamtlda7memxjbwovdnavmuslrmqeb3cyj2t4y6az6eli,""
0x7544740542045f5FaA583F9eF7AafB44ed8Dd9ea,1,,,,,,0.1440940162143728,1679329971,bafkreierqv7n4ewtawsvypdguxt3zdkamwwfcz3hys3rvwwugdq2pfm4ge,""
0x96a5100e6521cF4E1AC95ad7aD03262361957fF8,1,,,,,,0.079372554,1679330060,bafkreid7zndf75d46jxyyckhapxltl2b7ln5oaqg3bield2kcne57pbfyy,""
0x68c83cD5762dD46E03FF98029A46d9F1551D9107,,,,,,1,1.4639687813851958,1679330080,bafkreifb6incoxmvg5arsmj6ziy4m6uvgtxm23beyillvdfg2f5wsj3pcu,""
0x9805a6bB703C2230702190fBd92B50003edbF731,25,1,3,1,16,25,5145.014414767922,1679330168,bafkreiemg7y3ugaq7utf47iyvee47x7okl3zynwbsn6rrccyt4q5mylhpa,""
0xf900d6ecfb5702Ce3e9E698d9A355223B15990a1,1,,,,1,1,20.9806803,1679330266,bafkreihg6hrke54eihp2uwwobo6agxyxfndzawksrzfduvpnyerxuogcci,""
0x432c7FaEbF7573feFc50c1eEdc46723c31d2154A,,,,,,1,2448.22162896316,1679330302,bafkreigenvujh4pn45g6anqvpvtzc35ulmve66ckmk4sfwj4gkmx4t7lhi,""
0x1B9f5A2C183B9F9A3341BAcd89c17cef1cDfEC3b,1,,,,,,1024.9680626136467,1679330401,bafkreid6l6qqqyce6dfwtoyrtughgg7kg5iwfhwuye3dsjmfov36kf63ra,""
0xE3A656b2D84b391F4c1a8D8AB53F05c9c98C76a8,1,,,,,,1.10042,1679330413,bafkreic3da3ng3532hwozuww2ta3p5xdwo64wufwozaxdexeygu3ceddlq,""
0x347fc96B4400C65dc4F29A9163f49596f2c67A32,,,,1,,,62590.10062334323,1679330562,bafkreicynprscqapndltxuujcnwkw2j6ypgrv3plrmpbgpxfg6w7rnfism,"DAM are homies and the other protocols already receive a lot of support and funding"
0x39794c3171d4D82eB9C6FBb764749Eb7ED92881d,1,,,,,,11086.403375596632,1679330572,bafkreiftufeazcgfgfsxlusmh77dpm5ieau6vkoegzhaonqrlqrvqym754,""
0xCec64e7d5b02fa4287eDC1B17F3B537b30155315,100,,,,,,9125.926564355204,1679330601,bafkreidr4sbf4g2f4mqrie5zu2dfnwm63dbpmotoddaixvwqlsqk3takpe,""
0xf54eEb92AB2d295039E3970c5a0365E46a9dBeec,,,,,,10,1.0297019544636665,1679330620,bafkreihi76zfe5osy6seyqvjmgvv6s2mzg6rqef7rx5bcxbozwhn5adbk4,""
0xEEAf9F8E7a42273d091Dd89091B16d3cf08B8101,,,9,,,1,14.770906555244807,1679330626,bafkreicws7ydoedlp6yhmzdkynl3csifiygknaeibzyur77kyoggpaflve,"Zircon is future and This project need help!"
